complaint_id,complaint_text,category
137,The bus was driving too fast today at the bus stand. Please take action.,Over Speeding
138,The bus was going extremely fast on Galle Road. Kindly look into this issue.,Over Speeding
139,Driver exceeded the speed limit today on Galle Road. Kindly look into this issue.,Over Speeding
140,Bus was overspeeding on the highway at 8 AM near Kandy,Over Speeding
141,Bus was overspeeding on the highway at 8 AM near Kandy,Over Speeding
142,Driver exceeded the speed limit this morning near Pettah. Very disappointed.,Over Speeding
143,Bus was overspeeding on the highway during peak hours near Colombo. This is unacceptable.,Over Speeding
144,Driver exceeded the speed limit last night on Galle Road. Kindly look into this issue.,Over Speeding
145,The bus was going extremely fast in the evening near Colombo. Kindly look into this issue.,Over Speeding
146,Driver was speeding dangerously in the evening near Pettah. Very disappointed.,Over Speeding
147,The bus was driving too fast last night at the bus stand. Very disappointed.,Over Speeding
148,Bus was overspeeding on the highway today near Pettah. This is unacceptable.,Over Speeding
149,The bus was going extremely fast during peak hours. Kindly look into this issue.,Over Speeding
150,The bus was driving too fast this morning at the bus stand. Kindly look into this issue.,Over Speeding
151,The bus was going extremely fast today near Pettah. Very disappointed.,Over Speeding
152,Bus was overspeeding on the highway around 5 PM near Colombo. Very disappointed.,Over Speeding
153,The bus was driving too fast in the evening near Kandy. Very disappointed.,Over Speeding
154,The bus was driving too fast around 5 PM near Pettah,Over Speeding
155,Bus was overspeeding on the highway around 5 PM near Colombo,Over Speeding
156,The bus was driving too fast at the bus stand. This is unacceptable.,Over Speeding
157,The bus was driving too fast this morning,Over Speeding
158,Driver was speeding dangerously today on Galle Road. Very disappointed.,Over Speeding
159,Bus was overspeeding on the highway this morning near Kandy. Please take action.,Over Speeding
160,The bus was going extremely fast near Kandy,Over Speeding
161,Driver exceeded the speed limit during peak hours at the bus stand. Very disappointed.,Over Speeding
162,The bus was going extremely fast at 8 AM. Please take action.,Over Speeding
163,Driver exceeded the speed limit today at the bus stand. This is unacceptable.,Over Speeding
164,Driver exceeded the speed limit at 8 AM. This is unacceptable.,Over Speeding
165,The bus was going extremely fast this morning at the bus stand,Over Speeding
166,Driver exceeded the speed limit in the evening at the bus stand. Very disappointed.,Over Speeding
167,Bus was overspeeding on the highway today near Colombo. Kindly look into this issue.,Over Speeding
168,The bus was driving too fast this morning at the bus stand. Very disappointed.,Over Speeding
169,The bus was going extremely fast during peak hours. Kindly look into this issue.,Over Speeding
170,Driver was speeding dangerously during peak hours near Colombo. This is unacceptable.,Over Speeding
171,Bus was overspeeding on the highway today. Kindly look into this issue.,Over Speeding
172,Driver was speeding dangerously this morning near Kandy,Over Speeding
173,The bus was going extremely fast at 8 AM near Kandy. Please take action.,Over Speeding
174,The bus was going extremely fast today on Galle Road. Very disappointed.,Over Speeding
175,The bus was going extremely fast this morning near Colombo. Please take action.,Over Speeding
176,Bus was overspeeding on the highway in the evening near Colombo,Over Speeding
177,Driver was speeding dangerously in the evening near Colombo. Kindly look into this issue.,Over Speeding
178,Driver was speeding dangerously during peak hours near Colombo. Please take action.,Over Speeding
179,The bus was going extremely fast at 8 AM on Galle Road,Over Speeding
180,Driver exceeded the speed limit today on Galle Road. Please take action.,Over Speeding
181,Bus was overspeeding on the highway at 8 AM near Colombo. Kindly look into this issue.,Over Speeding
182,The bus was driving too fast last night near Colombo. This is unacceptable.,Over Speeding
183,Driver was speeding dangerously last night near Pettah. This is unacceptable.,Over Speeding
184,Driver exceeded the speed limit during peak hours. Please take action.,Over Speeding
185,The bus was going extremely fast during peak hours near Colombo. Please take action.,Over Speeding
186,Driver exceeded the speed limit during peak hours on Galle Road. Please take action.,Over Speeding
187,The bus was going extremely fast in the evening. This is unacceptable.,Over Speeding
188,Driver exceeded the speed limit today on Galle Road. Please take action.,Over Speeding
189,Driver was speeding dangerously around 5 PM on Galle Road. This is unacceptable.,Over Speeding
190,The bus was driving too fast during peak hours near Kandy. Please take action.,Over Speeding
191,The bus was going extremely fast at 8 AM near Colombo,Over Speeding
192,Driver exceeded the speed limit during peak hours near Pettah. Please take action.,Over Speeding
193,Driver exceeded the speed limit around 5 PM near Colombo. This is unacceptable.,Over Speeding
194,The bus was driving too fast at 8 AM near Kandy. This is unacceptable.,Over Speeding
195,Driver was speeding dangerously near Colombo. This is unacceptable.,Over Speeding
196,The bus was going extremely fast on Galle Road. Very disappointed.,Over Speeding
197,The bus was driving too fast today near Colombo. Please take action.,Over Speeding
198,The bus was going extremely fast during peak hours near Colombo. Very disappointed.,Over Speeding
199,Bus was overspeeding on the highway at 8 AM near Kandy. Very disappointed.,Over Speeding
200,The bus was driving too fast last night at the bus stand. Very disappointed.,Over Speeding
201,The bus was going extremely fast around 5 PM on Galle Road. Please take action.,Over Speeding
202,Driver exceeded the speed limit at 8 AM near Kandy. Kindly look into this issue.,Over Speeding
203,The bus was going extremely fast this morning on Galle Road. Kindly look into this issue.,Over Speeding
204,The bus was driving too fast around 5 PM on Galle Road,Over Speeding
205,Driver exceeded the speed limit today on Galle Road. Kindly look into this issue.,Over Speeding
206,Bus was overspeeding on the highway. This is unacceptable.,Over Speeding
207,Driver exceeded the speed limit today. Please take action.,Over Speeding
208,Driver was speeding dangerously today. Kindly look into this issue.,Over Speeding
209,Driver exceeded the speed limit during peak hours near Pettah. This is unacceptable.,Over Speeding
210,Bus was overspeeding on the highway around 5 PM on Galle Road. Please take action.,Over Speeding
211,Bus was overspeeding on the highway. Very disappointed.,Over Speeding
212,The bus was driving too fast today near Pettah,Over Speeding
213,Bus was overspeeding on the highway in the evening near Colombo. Please take action.,Over Speeding
214,Driver exceeded the speed limit at the bus stand. This is unacceptable.,Over Speeding
215,Driver exceeded the speed limit in the evening. Very disappointed.,Over Speeding
216,Bus was overspeeding on the highway around 5 PM near Colombo. Please take action.,Over Speeding
217,Driver exceeded the speed limit today near Pettah,Over Speeding
218,Driver exceeded the speed limit at 8 AM on Galle Road. This is unacceptable.,Over Speeding
219,The bus was going extremely fast. Please take action.,Over Speeding
220,Driver was speeding dangerously last night on Galle Road,Over Speeding
221,Driver was speeding dangerously today near Colombo. Kindly look into this issue.,Over Speeding
222,The bus was going extremely fast last night near Kandy,Over Speeding
223,The bus was driving too fast around 5 PM at the bus stand,Over Speeding
224,Driver exceeded the speed limit in the evening near Colombo. Very disappointed.,Over Speeding
225,Bus was overspeeding on the highway this morning at the bus stand,Over Speeding
226,The bus was going extremely fast this morning. Kindly look into this issue.,Over Speeding
227,Driver exceeded the speed limit last night at the bus stand. This is unacceptable.,Over Speeding
228,The bus was driving too fast around 5 PM. Kindly look into this issue.,Over Speeding
229,Driver exceeded the speed limit this morning at the bus stand,Over Speeding
230,The bus was going extremely fast in the evening on Galle Road. Kindly look into this issue.,Over Speeding
231,Driver was speeding dangerously during peak hours on Galle Road. Please take action.,Over Speeding
232,The bus was driving too fast near Kandy,Over Speeding
233,Driver exceeded the speed limit around 5 PM near Kandy. Kindly look into this issue.,Over Speeding
234,Driver exceeded the speed limit in the evening. Very disappointed.,Over Speeding
235,Driver exceeded the speed limit during peak hours on Galle Road. Kindly look into this issue.,Over Speeding
236,Bus was overspeeding on the highway today near Colombo,Over Speeding
237,Driver exceeded the speed limit around 5 PM near Pettah,Over Speeding
238,Driver exceeded the speed limit this morning near Colombo,Over Speeding
239,Driver was speeding dangerously last night near Kandy. Please take action.,Over Speeding
240,Driver was speeding dangerously this morning near Pettah. Very disappointed.,Over Speeding
241,Driver was speeding dangerously last night near Pettah. Please take action.,Over Speeding
242,Driver was speeding dangerously this morning near Colombo. Kindly look into this issue.,Over Speeding
243,Driver exceeded the speed limit during peak hours near Pettah. Please take action.,Over Speeding
244,The bus was going extremely fast near Pettah. Kindly look into this issue.,Over Speeding
245,Driver was speeding dangerously around 5 PM near Colombo,Over Speeding
246,Driver was speeding dangerously in the evening on Galle Road. Very disappointed.,Over Speeding
247,Bus was overspeeding on the highway around 5 PM at the bus stand. Kindly look into this issue.,Over Speeding
248,Driver was speeding dangerously around 5 PM at the bus stand. This is unacceptable.,Over Speeding
249,The bus was driving too fast in the evening near Colombo. Kindly look into this issue.,Over Speeding
250,Driver was speeding dangerously around 5 PM near Pettah,Over Speeding
251,The driver was very rude today near Kandy. Very disappointed.,Driver Behavior
252,Driver was not respectful this morning near Colombo. Very disappointed.,Driver Behavior
253,Driver used bad language in the evening near Kandy,Driver Behavior
254,The driver was very rude this morning near Colombo. Please take action.,Driver Behavior
255,The driver was very rude this morning at the bus stand. Please take action.,Driver Behavior
256,Driver was shouting at passengers near Pettah. Kindly look into this issue.,Driver Behavior
257,Driver used bad language at 8 AM near Colombo. This is unacceptable.,Driver Behavior
258,The driver was very rude in the evening near Pettah. Please take action.,Driver Behavior
259,Driver used bad language last night. Very disappointed.,Driver Behavior
260,Driver used bad language. This is unacceptable.,Driver Behavior
261,Driver was not respectful this morning on Galle Road,Driver Behavior
262,The driver was very rude last night near Pettah. Kindly look into this issue.,Driver Behavior
263,The driver was very rude at the bus stand. Kindly look into this issue.,Driver Behavior
264,Driver was shouting at passengers during peak hours. Very disappointed.,Driver Behavior
265,Driver behaved unprofessionally around 5 PM near Colombo. Very disappointed.,Driver Behavior
266,Driver was not respectful today. Please take action.,Driver Behavior
267,The driver was very rude today. Kindly look into this issue.,Driver Behavior
268,Driver behaved unprofessionally in the evening near Kandy. This is unacceptable.,Driver Behavior
269,The driver was very rude near Kandy,Driver Behavior
270,Driver used bad language during peak hours at the bus stand,Driver Behavior
271,Driver behaved unprofessionally this morning near Colombo,Driver Behavior
272,Driver used bad language during peak hours near Kandy. Please take action.,Driver Behavior
273,The driver was very rude near Pettah. Please take action.,Driver Behavior
274,Driver was shouting at passengers at 8 AM near Colombo. Very disappointed.,Driver Behavior
275,Driver behaved unprofessionally today on Galle Road. Kindly look into this issue.,Driver Behavior
276,Driver used bad language today near Colombo. Very disappointed.,Driver Behavior
277,Driver was shouting at passengers this morning at the bus stand. Kindly look into this issue.,Driver Behavior
278,The driver was very rude near Colombo. This is unacceptable.,Driver Behavior
279,The driver was very rude this morning near Colombo. Very disappointed.,Driver Behavior
280,Driver was shouting at passengers last night near Pettah. Please take action.,Driver Behavior
281,Driver used bad language at the bus stand. This is unacceptable.,Driver Behavior
282,Driver behaved unprofessionally today. Very disappointed.,Driver Behavior
283,Driver used bad language at 8 AM near Kandy,Driver Behavior
284,Driver used bad language during peak hours at the bus stand. Kindly look into this issue.,Driver Behavior
285,The driver was very rude on Galle Road. Very disappointed.,Driver Behavior
286,The driver was very rude on Galle Road. Very disappointed.,Driver Behavior
287,Driver was not respectful at 8 AM near Pettah. Very disappointed.,Driver Behavior
288,Driver was shouting at passengers this morning near Colombo. This is unacceptable.,Driver Behavior
289,Driver used bad language this morning on Galle Road. Kindly look into this issue.,Driver Behavior
290,Driver was not respectful this morning near Colombo. This is unacceptable.,Driver Behavior
291,Driver behaved unprofessionally this morning at the bus stand. Kindly look into this issue.,Driver Behavior
292,The driver was very rude around 5 PM. Kindly look into this issue.,Driver Behavior
293,Driver was shouting at passengers last night. Kindly look into this issue.,Driver Behavior
294,Driver was not respectful around 5 PM at the bus stand,Driver Behavior
295,The driver was very rude at 8 AM near Colombo. Very disappointed.,Driver Behavior
296,The driver was very rude this morning at the bus stand. This is unacceptable.,Driver Behavior
297,The driver was very rude around 5 PM near Kandy. Very disappointed.,Driver Behavior
298,The driver was very rude last night near Colombo. Very disappointed.,Driver Behavior
299,Driver behaved unprofessionally in the evening on Galle Road. Please take action.,Driver Behavior
300,Driver was shouting at passengers at 8 AM. Please take action.,Driver Behavior
301,Driver behaved unprofessionally this morning near Kandy. Very disappointed.,Driver Behavior
302,Driver behaved unprofessionally in the evening near Kandy. Please take action.,Driver Behavior
303,Driver used bad language at the bus stand. Very disappointed.,Driver Behavior
304,Driver was not respectful last night on Galle Road. Kindly look into this issue.,Driver Behavior
305,Driver used bad language last night at the bus stand,Driver Behavior
306,The driver was very rude at 8 AM. Please take action.,Driver Behavior
307,Driver behaved unprofessionally during peak hours on Galle Road. This is unacceptable.,Driver Behavior
308,Driver was shouting at passengers today at the bus stand. Kindly look into this issue.,Driver Behavior
309,Driver was shouting at passengers today near Pettah. Kindly look into this issue.,Driver Behavior
310,Driver was not respectful today,Driver Behavior
311,The driver was very rude at 8 AM on Galle Road. Kindly look into this issue.,Driver Behavior
312,Driver was not respectful around 5 PM at the bus stand. This is unacceptable.,Driver Behavior
313,Driver was shouting at passengers during peak hours on Galle Road. Kindly look into this issue.,Driver Behavior
314,Driver used bad language during peak hours near Pettah. Please take action.,Driver Behavior
315,Driver was not respectful in the evening near Kandy. Please take action.,Driver Behavior
316,Driver was not respectful this morning at the bus stand. Please take action.,Driver Behavior
317,Driver was shouting at passengers during peak hours near Pettah. Very disappointed.,Driver Behavior
318,Driver behaved unprofessionally during peak hours at the bus stand. Kindly look into this issue.,Driver Behavior
319,Driver was not respectful in the evening near Pettah. This is unacceptable.,Driver Behavior
320,Driver used bad language at 8 AM near Pettah,Driver Behavior
321,Driver behaved unprofessionally in the evening near Colombo. Kindly look into this issue.,Driver Behavior
322,Driver behaved unprofessionally in the evening near Kandy,Driver Behavior
323,The driver was very rude near Pettah,Driver Behavior
324,Driver was not respectful today near Kandy. Please take action.,Driver Behavior
325,Driver was not respectful in the evening at the bus stand,Driver Behavior
326,Driver was shouting at passengers today. Please take action.,Driver Behavior
327,The driver was very rude at 8 AM at the bus stand. Kindly look into this issue.,Driver Behavior
328,The driver was very rude last night near Colombo. Very disappointed.,Driver Behavior
329,The driver was very rude during peak hours on Galle Road,Driver Behavior
330,The driver was very rude last night. This is unacceptable.,Driver Behavior
331,The driver was very rude this morning near Pettah. This is unacceptable.,Driver Behavior
332,Driver was not respectful in the evening near Colombo. This is unacceptable.,Driver Behavior
333,Driver behaved unprofessionally during peak hours at the bus stand,Driver Behavior
334,Driver behaved unprofessionally during peak hours at the bus stand. Please take action.,Driver Behavior
335,Driver behaved unprofessionally around 5 PM. Very disappointed.,Driver Behavior
336,The driver was very rude today near Kandy. Very disappointed.,Driver Behavior
337,The driver was very rude today at the bus stand. Please take action.,Driver Behavior
338,Driver was not respectful at 8 AM at the bus stand. This is unacceptable.,Driver Behavior
339,Driver was shouting at passengers last night near Kandy. Kindly look into this issue.,Driver Behavior
340,Driver was shouting at passengers near Kandy. Kindly look into this issue.,Driver Behavior
341,Driver was shouting at passengers during peak hours near Colombo. Very disappointed.,Driver Behavior
342,The driver was very rude in the evening near Colombo. This is unacceptable.,Driver Behavior
343,Driver used bad language during peak hours near Colombo. Kindly look into this issue.,Driver Behavior
344,Driver behaved unprofessionally on Galle Road,Driver Behavior
345,The driver was very rude at 8 AM near Kandy. Kindly look into this issue.,Driver Behavior
346,Driver behaved unprofessionally today,Driver Behavior
347,Driver behaved unprofessionally at 8 AM near Pettah. Kindly look into this issue.,Driver Behavior
348,Driver was not respectful in the evening. Very disappointed.,Driver Behavior
349,Driver was not respectful during peak hours near Pettah. Please take action.,Driver Behavior
350,The driver was very rude today near Pettah. Please take action.,Driver Behavior
351,The driver was very rude this morning at the bus stand. Please take action.,Driver Behavior
352,Driver used bad language in the evening near Pettah. Please take action.,Driver Behavior
353,Driver was not respectful at 8 AM near Pettah. Kindly look into this issue.,Driver Behavior
354,Driver was not respectful last night. Kindly look into this issue.,Driver Behavior
355,Driver was not respectful today near Pettah. Very disappointed.,Driver Behavior
356,The driver was very rude last night. Very disappointed.,Driver Behavior
357,The driver was very rude in the evening near Pettah. Kindly look into this issue.,Driver Behavior
358,Driver behaved unprofessionally last night on Galle Road,Driver Behavior
359,Driver was not respectful this morning. Very disappointed.,Driver Behavior
360,Driver was not respectful around 5 PM. Very disappointed.,Driver Behavior
361,The driver was very rude around 5 PM at the bus stand,Driver Behavior
362,Driver behaved unprofessionally last night at the bus stand. This is unacceptable.,Driver Behavior
363,The driver was very rude near Pettah. Kindly look into this issue.,Driver Behavior
364,Driver was not respectful today at the bus stand. This is unacceptable.,Driver Behavior
365,The driver was very rude during peak hours at the bus stand. Please take action.,Driver Behavior
366,Driver used bad language around 5 PM near Colombo,Driver Behavior
367,Driver was shouting at passengers,Driver Behavior
368,The driver was very rude in the evening near Pettah. Very disappointed.,Driver Behavior
369,Driver used bad language during peak hours near Colombo. Kindly look into this issue.,Driver Behavior
370,The driver was very rude today on Galle Road. Please take action.,Driver Behavior
371,Driver behaved unprofessionally at 8 AM on Galle Road,Driver Behavior
372,Driver behaved unprofessionally around 5 PM near Colombo. Please take action.,Driver Behavior
373,Driver used bad language today,Driver Behavior
374,The driver was very rude around 5 PM at the bus stand. Please take action.,Driver Behavior
375,Driver behaved unprofessionally during peak hours at the bus stand. Very disappointed.,Driver Behavior
376,Driver behaved unprofessionally around 5 PM on Galle Road. This is unacceptable.,Driver Behavior
377,The driver was very rude today near Colombo,Driver Behavior
378,Driver was not respectful this morning near Pettah. Kindly look into this issue.,Driver Behavior
379,Driver behaved unprofessionally at 8 AM near Pettah. Please take action.,Driver Behavior
380,Driver was not respectful last night near Pettah. Very disappointed.,Driver Behavior
381,Driver used bad language today,Driver Behavior
382,The driver was very rude at 8 AM near Pettah. Kindly look into this issue.,Driver Behavior
383,Driver behaved unprofessionally in the evening near Colombo. This is unacceptable.,Driver Behavior
384,Driver behaved unprofessionally at the bus stand,Driver Behavior
385,Driver behaved unprofessionally today. Please take action.,Driver Behavior
386,The driver was very rude at 8 AM on Galle Road. Very disappointed.,Driver Behavior
387,The driver was very rude during peak hours near Pettah. Very disappointed.,Driver Behavior
388,Driver was shouting at passengers this morning at the bus stand. Very disappointed.,Driver Behavior
389,Driver behaved unprofessionally in the evening near Colombo. This is unacceptable.,Driver Behavior
390,Driver used bad language during peak hours near Colombo. Very disappointed.,Driver Behavior
391,The driver was very rude during peak hours at the bus stand,Driver Behavior
392,Driver used bad language in the evening on Galle Road. Kindly look into this issue.,Driver Behavior
393,Driver was shouting at passengers in the evening at the bus stand,Driver Behavior
394,Driver behaved unprofessionally on Galle Road. Kindly look into this issue.,Driver Behavior
395,Driver was not respectful at 8 AM. Kindly look into this issue.,Driver Behavior
